comedians,bios
lisa lampanelli,"[['SPECIAL', 'Lovable', 'stand-up', 'true', 'original', 'brilliant', 'afraid', 'gut-busting', 'popular', 'equal', 'regular', 'late', 'frequent', 'fifth', 'stand-up', 'new', 'own', 'other', 'fifth', 'special', 'same', 'first', 'first', 'many', 'few', 'white', 'huge', 'featured', 'opposite', 'maternal', 'continuous', 'several', 'featured'], ['more', 'funnier'], ['most', 'guest'], ['EVENT', 'Lisa', 'Lampanelli', 'Comedy', 'Mean', 'Jim', 'Carrey', 'Lampanelli', 'Don', 'Rickles', 'Archie', 'Bunker', 'King', 'All', 'Media', 'Howard', 'Stern', 'Lisa', 'Lampanelli', 'U.S.', 'Canada', 'Howard', 'Stern', 'Sirius', 'Lisa', 'Back', 'Drawing', 'Board', 'Lampanelli', 'Broadway', 'Fat', 'Girls', 'Interrupted', 'Lisa', 'NBC', '’', 'Celebrity', 'Apprentice', 'Bounty', 'Hunters', 'CMT', 'Lampanelli', 'HBO', 'Long', 'Live', 'Queen', 'Chocolate', 'Please', 'Food', 'Fat', 'Freaks', 'Greatest', 'Hits', '“', 'Queen', 'Roast', 'Chevy', 'Chase', 'Pamela', 'Anderson', 'Jeff', 'Foxworthy', 'William', 'Shatner', 'Flava', 'Flav', 'Larry', 'Cable', 'Guy', 'BET', 'Comic', 'View', 'Wendy', 'William', 'Show', 'Lisa', 'Lisa', 'David', 'Chase-directed', 'Fade', 'Away', 'Larry', 'Cable', 'Guy', 'Health', 'Inspector', 'Delta', 'Farce', 'Bill', 'Engvall', 'Larry', 'Cable', 'Guy', 'D.J', 'Aristocrats', 'Owen', 'Wilson', 'Drillbit', 'Taylor', 'Lisa', 'VH1', 'MTV', 'CMT', 'Bravo', '’', 'A', 'List', 'Awards', '”', '“', 'NewNowNext', 'Awards', '”', 'Logo'], [], ['wildly', 'recently', 'ever', 'also', 'currently', 'recently', 'clearly', 'Not', 'also', 'also', 'also'], ['more'], []]"
lisa landry,"[['new', 'famed', 'own', 'special', 'nationwide', 'special', 'top', 'annual', 'first', 'top', 's', 'Top', 'Funny', 'stand-up', 'own', 'new', 'past'], [], ['Best', 'guest'], ['Comedy', 'Album', 'Lisa', 'Landry', 'New', 'York', 'City', 'Landry', 'Late', 'Late', 'Show', 'Craig', 'Ferguson', 'Bonnie', 'Hunt', 'Show', 'Comedy', 'Central', 'Presents', 'Lisa', 'Landry', 'A', 'Comedy', 'Central', '’', 'Standup', 'Showdown', 'Landry', '’', 'CD', 'Put', 'Keys', 'Key', 'Bowl', 'Comedy', 'CDs', 'TBS', 'Landry', 'DVD', 'Brazillionaire', 'Use', 'Against', 'Me', 'Lisa', 'Brett', 'Butler', '’', 'Southern', 'Belles', 'Comedy', 'DVD', 'Fox', '’', 'Morning', 'Show', 'Mike', 'Juliet', 'Bob', 'Tom', 'Show', 'Fox', '’', 'Redeye', 'Hollyweird', 'MSNBC', '’', 'Scarborough', 'Country', 'Landry', 'US', 'Weekly', 'Magazine', 'Trust', 'Lisa', 'Landry'], [], ['as', 'well', 'ever', 'recently', 'also', ""n't""], [], []]"
liza treyger,"[['Chicago-bred', 'stand-up', 'first', 'candid', 'cast', 'hit', 'super', 'Many'], [], [], ['Liza', 'Treyger', 'Comedy', 'Central', 'Liza', '’', 'Half', 'Hour', 'Glittercheese', 'Up', 'Comedy', 'Club', 'Chicago', 'Liza', 'Treyger', '’', 'GLITTERCHEESE', 'Liza', 'Adam', 'Devine', 'House', 'Party', 'Comedy', 'Central', 'Chelsea', 'Lately', 'MTV2', 'Joking', 'Off', 'Louis', 'CK', 'Horace', 'Pete', 'Liza', 'Just', 'Laughs', 'Festival', 'Montreal', 'New', 'York', 'Comedy', 'Festival', 'Comedy', 'Central', 'Watch.', '”', 'Check', 'Liza', '’', 'How', 'YouTube'], ['Comics'], ['recently', 'boisterously', 'As', 'far', 'currently'], [], ['Most']]"
louie anderson,"[['Two-time', 'Stand-Up', 'clean', 'own', 'stand-up', 'own', 'own', 'such', 'popular', '“', 'memorable', 'featured', 'such', '“', 'multi-talented', 'syndicated', 'two-time', 'animated', 'best-selling', 'first'], [], ['most', 'Greatest', 'latest'], ['Emmy', 'Louie', 'Anderson', '’', 'Comedy', 'Central', '“', 'All', 'Time.', '”', 'Louie', 'Midwest', '“', 'Louie', 'Live', '”', 'Las', 'Vegas', 'Anderson', 'CBS', 'Louie', 'Show', '”', 'HBO', 'Showtime', 'Scrubs', '”', '“', 'Grace', 'Fire', '”', '“', 'Touched', 'Angel', '“', 'Chicago', 'Hope.', '”', 'Anderson', 'America', '”', 'Eddie', 'Murphy', '“', 'Family', 'Feud', '”', 'Emmy', 'Award', 'FOX', '“', 'Life', 'Louie.', '”', 'Anderson', 'Dear', 'Dad-', 'Letters', 'Adult', 'Child', 'F', 'Word', 'Family', 'ALL', 'AGES', 'FAMILY', 'SHOW', 'Sunday', 'June'], [], ['well', 'worldwide', 'Currently', 'also', 'also', 'also', 'up'], [], []]"
louis ck,"[['honest', 'comedic', 'live', 'police', 'second', 'special', 'stand-up', 'special', '25th', 'special', 'new', 'executive', 'stand-up', 'single', 'stand-up', 'Hilarious', 'first', 'stand-up', 'first', 'traditional', 'first', 'classic'], ['more'], ['best'], ['Louis', 'C.K', 'Louis', 'Invention', 'Lying', 'Ricky', 'Gervais', 'Jennifer', 'Garner', 'NBC', 'Parks', 'Recreation', 'Dave', 'Sanderson', 'Pawnee', 'Louis', 'Emmy', 'Award', 'Writing', 'Variety', 'Music', 'Comedy', 'Special', 'Louis', 'C.K', 'Up', 'Will', 'Ferrell', 'Chris', 'Rock', 'Ricky', 'Gervais', 'Louis', 'HBO', 'Night', 'Stand', 'Comedy', 'Central', 'Presents', 'HBO', 'Anniversary', 'Young', 'Louis', 'FX', 'Louie', 'Rescue', 'Me', 'Louis', 'New', 'York', 'City', 'Louis', 'C.K', 'Sundance', 'Film', 'Festival', 'Sundance', 'Louis', 'HBO', '’', 'Lucky', 'Louie', 'Louis', 'Blaxploitation', 'Pootie', 'Tang', 'Diminished', 'Capacity', 'Matthew', 'Broderick', 'Virginia', 'Madsen', 'Alan', 'Alda', 'Welcome', 'Home', 'Roscoe', 'Jenkins', 'Martin', 'Lawrence', 'Mike', 'Epps', 'Cedric', 'Entertainer'], ['Comedians'], ['as', 'well', 'recently', 'alongside', 'alongside'], [], ['most']]"
louis johnson,"[['own', 'major', 'corporate', 'founding', 'everyday', 'racial', 'economic', 'comic', 'craves-the', 'long', 'funny-very'], [], [], ['Seen', 'Showtime', 'Comedy', 'Central', 'A', 'E', 'B.E.T', 'Showtime', 'Comic', 'Month', 'Special', 'U.S.O', 'World', 'Comedy', 'Break', 'Tours', 'S.E.L.L.O.U.T', 'Comedy', 'Tour', 'Melbourne', 'International', 'Comedy', 'Festival', 'Indianapolis', 'News', '”', 'CBSDenver.com', 'Johnson', 'Owner', 'Boulder', 'Daily'], [], ['Currently', 'also', 'recently', 'simply', 'only'], [], []]"
lucas brothers,"[['dynamic', 'new', 'short', 'big', 'first', 'stand-up', 'special', 'animated', 'main', 'hilarious', 'absurdist', 'weekly', 'late', 'Late', 'multiple', 'familiar', 'several', '“', 'prestigious'], [], ['freshest', 'most'], ['Lucas', 'Bros', 'Keith', 'Kenny', 'Lucas', 'Lucas', '”', 'Vulture', 'Lucas', 'Bros', 'Drugs', 'Netflix', 'Netflix', 'Lady', 'Dynamite', 'Maria', 'Bamford', 'Keith', 'Kenny', 'Lucas', 'Bros.', 'Moving', 'Co..', '’', 'New', 'York', 'Times', 'Super', 'Late', 'Morning', 'Show', 'ComedyCentral.com', 'Friends', 'People', 'TruTV', 'FOX', 'Grinder', 'Rob', 'Lowe', 'Jump', 'Street', 'Keith', 'Kenny', 'CNN', '’', 'History', 'Comedy', 'HBO', '’', 'Crashing', 'Night', 'Jimmy', 'Fallon', 'Tonight', 'Show', 'Jimmy', 'Fallon', 'Comedy', 'Central', '’', 'Meltdown', 'Jonah', 'Kumail', 'High', 'Court', 'Adam', 'Devine', '’', 's', 'House', 'Party', 'Variety', '’', 'Watch', 'Rolling', 'Stone', 'Magazine', '“', 'Hot', 'List', '”', 'Arrested', 'Development', 'HBO', 'Funny', 'As', 'Hell', 'Montreal', 'Just', 'Laughs', 'Comedy', 'Festival'], ['Brothers', 'Comics'], ['also', 'also', 'Additionally', 'also', 'recently', 'as', 'well', 'also', 'as', 'well'], ['More'], []]"
marc maron,"[['twenty', 'raw', 'thought-provoking', 'iconic', 'such', 'former', 'worldwide', 'original', 'half-hour', 'scripted', 'stand-up', 'special', 'next', 'special', 'available', 'recent', 'stand-up', 'special'], [], ['honest', 'guest', 'most'], ['Marc', 'Maron', 'Best', 'WTF', 'Marc', 'Maron', 'Marc', 'Conan', 'O', '’', 'Brien', 'Robin', 'Williams', 'Keith', 'Richards', 'Ben', 'Stiller', 'Julia', 'Louis-Dreyfus', 'Lorne', 'Michaels', 'U.S.', 'President', 'Barack', 'Obama', 'Maron', 'Netflix', 'GLOW', 'Alison', 'Brie', 'Maron', 'IFC', 'U.S.', 'Netflix', 'Marc', 'Girls', 'Louie', 'Joe', 'Swanberg', '’', 'Easy', 'Job', 'Mike', 'Dave', 'Need', 'Wedding', 'Thinky', 'Pain', 'Netflix', 'Epix', 'December', 'Maron', '’', 'Marc', 'Maron', 'Too', 'Real', 'Netflix'], ['Dates'], ['nearly', 'currently', 'alongside', 'also', 'Later', 'also', 'currently'], ['More'], []]"
marcella arguello,"[['lazy', 'tall', 'genuine', 'sexy', 'diverse', 'weekly', 'Top', 'favorite', 'six-time', 'first', 'Last', 'mobile'], [], ['hottest', 'finest'], ['Marcella', 'Arguello', 'Marcella', 'Marcella', 'Women', 'Crush', 'Wednesdays', 'Los', 'Angeles', 'Wednesday', 'Comedy', 'Central', 'Corporate', 'FuseTV', 'Trivial', 'Takedown', 'MSN.com', 'Marcella', 'Amy', 'Schumer', 'Tiffany', 'Haddish', 'Ali', 'Wong', 'Comedy', 'Central', '’', '@', 'Netflix', 'Bill', 'Nye', 'World', 'James', 'Corden-produced', 'Drop', 'Mic', 'TBS', 'Marcella', 'TruTv', '’', 'Comedy', 'Knock', 'Out', 'Viceland', '’', 'Flophouse', 'NBC', '’', 'Carson', 'Daly', 'Tyler', 'Creator', '’', 'Fox', '’', 'Real', 'Hannibal', 'Buress', 'David', 'Alan', 'Grier', 'Hasan', 'Minhaj', 'Norm', 'MacDonald', 'Bill', 'Burr', 'Paul', 'Mooney', 'Robin', 'Williams', 'Sean', 'Keane', 'Modesto', 'George', 'Lucas'], [], ['Too', 'too', 'Recently', 'alongside', 'Additionally'], [], ['most']]"
margaret cho,"[['Comedian', 'aware', 'no-holds-barred', 'thought', 'tolerant', 'open', 'open', 'accomplished', 'constant', 'independent', 'other', 'Notorious', 'indelible', 'first', 'special', '’', 's', 'long', 'American', 'first', 'new', 'first', 'stand-up', 'uproarious', 'raucous', 'bold', 'unyielding'], [], ['most', 'honest', 'best'], ['Margaret', 'Cho', 'Agent', 'Provocateur', 'Margaret', 'Grammy', 'Emmy', 'Award', 'Margaret', '’', 'Most', 'Money', 'Per', 'Print', 'C.H.O', 'Assassin', 'Revolution', 'Beautiful', 'Cho', 'Dependent', 'Margaret', 'American', 'Girl', '”', 'VH1', '’', 'Cho', 'Show', 'Lifetime', 'Drop', 'Dead', 'Diva', 'TLC', '’', 'SEX', 'Margaret', 'Fashion', 'Police', '“', 'Highland', '”', 'Amazon', 'Margaret', '’', 'Grammy', 'Cho', 'Dependent', 'Myth', 'Cho', 'Dependent', 'Margaret', 'Margaret', 'Margaret', 'Cho'], ['Awards'], ['always', 'literally', 'socially', 'here', 'abroad', 'still', 'recently', 'well', 'late', 'currently', 'Then', 'very'], [], []]"
maria bamford,"[['special', 'special', 'special', 'web', 'first', 'female', 'half-hour', 'numerous', 'animated', 'lead', 'fantastic', 'high', 'entire', 'new', 'critically-praised', 'new'], [], [], ['Maria', 'Bamford', 'Maria', 'Bamford', 'Maria', 'Bamford', 'Show', 'Museum', 'Art', 'Design', 'Comedy', 'Central', 'Presents', 'Patton', 'Oswalt', 'Zach', 'Galifianakis', 'Brian', 'Posehn', 'Comedy', 'Central', 'Comedy', 'Netflix', '’', 'Movie', 'Maria', 'BoJack', 'Horseman', 'Adventure', 'Time', 'Legend', 'Korra', 'Puss', 'Boots', 'PBS', '’', 'Emmy-winning', 'Word', 'Girl', 'Fox', '’', 'Golan', 'Insatiable', 'Yahoo', '’', 'Talking', 'Tom', 'Friends', 'Maria', '“', 'DeBrie', 'Bardeaux', '”', 'Netflix', '’', 'Arrested', 'Development', '“', '”', 'Entertainment', 'Weekly', '”', 'TIME', '“', '”', 'Black', 'Book', 'Magazine', 'FX', '’', 'Louie', 'ABC', '’', 'Fresh', 'Boat', 'USA', '’', 'Benched', 'Maria', '’', 'Netflix', 'Lady', 'Dynamite', 'Mitch', 'Hurwitz', 'Arrested', 'Development', 'Pam', 'Brady', 'South', 'Park'], ['Comedians', 'Comedians'], ['alongside', 'also', 'perhaps', 'also'], [], []]"
maria bamford aparna nancherla,"[['High', 'Special', 'special', 'special', 'special', 'web', 'first', 'female', 'half-hour', 'numerous', 'animated', 'lead', 'critically-praised', 'new', '“', 'exciting', 'new', 's', 'second', 'Other', 'stand-up', 'stand-up', 'late', 'prestigious', 'Late', 'regular'], [], [], ['Plains', 'Comedy', 'Festival', 'Maria', 'Bamford', 'Very', 'Guest', 'Aparna', 'Nancherla', 'Maria', 'Bamford', 'Maria', 'Bamford', 'Maria', 'Bamford', 'Show', 'Comedy', 'Central', 'Presents', 'Patton', 'Oswalt', 'Zach', 'Galifianakis', 'Brian', 'Posehn', 'Comedy', 'Central', 'Comedy', 'Netflix', '’', 'Movie', 'Maria', 'BoJack', 'Horseman', 'Adventure', 'Time', 'Legend', 'Korra', 'Puss', 'Boots', 'PBS', '’', 'Emmy-winning', 'Word', 'Girl', 'Fox', '’', 'Golan', 'Insatiable', 'Yahoo', '’', 'Talking', 'Tom', 'Friends', 'Maria', '“', 'DeBrie', 'Bardeaux', '”', 'Netflix', '’', 'Arrested', 'Development', 'FX', '’', 'Louie', 'ABC', '’', 'Fresh', 'Boat', 'USA', '’', 'Benched', 'Maria', '’', 'Netflix', 'Lady', 'Dynamite', 'Mitch', 'Hurwitz', 'Arrested', 'Development', 'Pam', 'Brady', 'South', 'Park', 'Aparna', 'Nancherla', 'Elle', '’', 'Women', 'Comedy', 'Issue', '”', 'Aparna', 'Comedy', 'Central', '’', 'Corporate', 'HBO', '’', 'Crashing', 'Netflix', '’', 'Standups', 'Netflix', '’', 'Master', 'None', 'Love', 'HBO', '’', 'High', 'Maintenance', 'Comedy', 'Central', '’', 'Inside', 'Amy', 'Schumer', 'US', 'Dave', '’', 'UK', 'Unspun', 'Matt', 'Forde', 'Hulu', '’', 'America', 'Sarah', 'Silverman', 'Aparna', 'Paul', 'Feig', 'A', 'Simple', 'Favor', 'Seeso', '’', 'Night', 'Train', 'Wyatt', 'Cenac', 'Comedy', 'Central', '’', 'Meltdown', 'Adam', 'Devine', '’', 's', 'House', 'Party', 'Aparna', 'TBS', '’', 'Conan', 'New', 'Faces', 'Just', 'Laughs', 'Festival', 'Montreal', 'Night', 'Seth', 'Meyers', 'FX', '’', 'Totally', 'W.', 'Kamau', 'Bell', 'Aparna', 'NBC', 'Stand', 'Up', 'Diversity'], ['Comedians', 'Comedians'], ['alongside', 'also', 'also', 'also', 's', 'as', 'well', 'as', 'well', 'currently'], [], ['most']]"
mark normand,"[['punchy', 'expert', 'comedian', 'first', 'special', 'special', 'many', 'constant', 'co-host'], [], ['Most'], ['Mark', 'Normand', 'Laugh', 'Button', 'Mark', 'Don', '’', 'Be', 'Yourself', 'Comedy', 'Central', 'EP', '’', 'Amy', 'Schumer', 'Mark', 'Comedy', 'Central', '’', 'Roast', 'Battle', 'Louis', 'CK', '’', 'Horace', 'Pete', 'Inside', 'Amy', 'Schumer', 'Big', 'Jay', 'Oakerson', 'F', '@', 'Deal', 'Seeso', 'Happening', 'Mark', 'Conan', 'John', 'Oliver', 'New', 'York', 'Stand', 'Up', 'Show', '@', 'Comedy', 'Central', 'Half', 'Hour', 'Got', 'Mark', 'Mark', 'Sirius', 'XM', 'New', 'York', 'Mark', 'Joe', 'List', 'Tuesdays', 'Mark', 'Esquire', '’', '“', 'Best', 'New', 'Comedians', '”', 'Splitsider', '’', '“', 'Top', 'Up', 'Coming', 'Coast', '”', 'Time', 'Out', 'New', 'York', '’', '“', 'New', 'York', 'Comedy', 'Scene', 'Linchpins', '”'], ['Stories', 'Comedians'], ['relentlessly', 'internationally', 'recently', 'Not', 'Still', 'often', 'also'], [], []]"
marlon wayans,"[['*VIP', 'comedian', 'stand-up', 'nationwide', 'upcoming', 'last', 'executive-produced', 'hilarious', 'successful', 'small', '’', 'comedy', 'national', 'first', 'stand-up', 'many', 'online', 'internet', 'serial', '‘', 'comedy', '’', 'additional', 'hit', '20th', 'opposite', 'several', 'popular', 'rated'], [], ['highest'], ['Marlon', 'Wayans', 'NBC', 'Marlon', 'August', 'Netflix', 'Naked', 'August', 'Fifty', 'Shades', 'Black', 'Open', 'Road', 'Films', 'A', 'Haunted', 'House', 'A', 'Haunted', 'House', 'Wayans', 'NBC', 'TBS', 'Funniest', 'Wins', 'Keenan', 'Damon', 'Shawn', 'Wayans', 'Wayans', 'Funny', 'Funny', 'Or', 'Die', 'Randy', 'Adams', 'Marcus', 'Copeland', '’', 'Columbia', '’', 'White', 'Dimension', 'Films', '’', 'Scary', 'Movie', 'Scary', 'Movie', 'Keenen', 'Ivory', 'Wayans', 'Columbia', 'Mo', '’', 'Money', 'New', 'Line', 'Cinema', '’', 'Rim', 'Miramax', '’', 'Don', '’', 'Be', 'A', 'Menace', 'South', 'Central', 'Hood', 'Sixth', 'Man', 'Miramax', '’', 'Senseless', 'Darren', 'Aronofsky', '’', 'Requiem', 'A', 'Dream', 'Coen', 'Ladykillers', 'Columbia', '’', 'Little', 'Man', 'DreamWorks', '’', 'Norbit', 'Paramount', 'Pictures', 'MTV', '’', 'Dance', 'Flick', 'Paramount', '’', 'G.I', 'Cobra', 'Century', 'Fox', '’', 'Marmaduke', 'Heat', 'Sandra', 'Bullock', 'Melissa', 'McCarthy', 'Wayans', 'Fox', '’', 'Living', 'Color', 'Adult', 'Swim', '’', 'Children', '’', 'Hospital', 'BET', '’', 'Second', 'Generation', 'Wayans', 'WB', '’', 'Bros.', 'WB'], ['Wayans', 'Wayans', 'Brothers', 'Wayans', 'Pictures', 'Chicks', 'Wayans', 'Pictures', 'Pictures', 'Brothers', 'Pictures', 'Wayans'], ['next', 'loosely', 'also', 'also', 'even', 'also', 'also', 'commonly', 'also', 'Additionally'], [], []]"
Maronzio Vance,"[['comedian', 'sarcastic', 'witty', 'Last', 'half', 'special', 'same', 'regular', 'several', 'national', 'curmudgeonly', 'raw', 'deep', 'political', 'relatable', 'average', 'American', 'new'], [], [], ['Maronzio', 'Vance', 'Wanda', 'Sykes', 'Jamie', 'Foxx', 'Laffapolooza', 'Comic', 'Standing', 'Tonight', 'Show', 'Maronzio', 'Fox', 'Living', 'Color', 'Comedy', 'Central', 'Fox', 'Enlisted', 'Miller', 'Lite', 'Commercials', 'Maronzio', 'Laughmatic', 'Lopez', 'Land', 'George', 'Lopez', 'Maronzio'], [], ['seamlessly', 'extremely', 'currently', 'essentially'], [], []]"
martin lawrence,"[['comedian', 'RARE', 'big', 'own', 'opposite', 'such', 'famous'], [], ['guest'], ['Martin', 'Lawrence', 'Live', 'Lawrence', 'HBO', 'Def', 'Comedy', 'Jam', 'Lawrence', 'Fox', 'Martin', 'Kelsey', 'Grammer', 'FX', 'Bad', 'Boys', 'Big', 'Momma', 'House', 'Big', 'Momma', 'House', 'Detective', 'Marcus', 'Burnett', 'Bad', 'Boys'], ['Partners'], [""n't"", 'Now', 'Meanwhile', 'recently', 'also', 'reportedly', 'currently'], [], ['most']]"
matt bellassai,"[['*VIP', 'first', 'social', 'single', 'gay', 'would-be', 'comedic', 'weekly', 'robust', 'past', 's'], ['more', 'more'], ['Most'], ['TICKETS', 'AVAILABLE', 'VIP', 'Matt', 'Bellassai', 'Facebook', 'Bellassai', 'Internet', 'New', 'York', 'City', 'Bellassai', 'BuzzFeed', 'Whine', 'Facebook', 'Bellassai', 'Twitter', 'Tumblr', 'Instagram', 'Matt', 'People', '’', 'Choice', 'Awards', 'Favorite', 'Social', 'Media', 'Star'], [], ['recently', 'also', 'just', 'also'], ['more'], []]"
matt braunger,"[['stand-up', 'recurring', 'regular', 'various', 'original', 'real', 'special', 's', 'half-hour', 'special', 'hour-long', 'special', 'own'], [], ['newest'], ['Matt', 'Braunger', 'NBC', '’', 'All', 'Night', 'MADtv', 'United', 'Tara', 'Pushing', 'Daisies', 'Carpoolers', 'Late', 'Late', 'Show', 'Craig', 'Ferguson', 'Live', 'Gotham', 'Chelsea', 'Lately', 'Braunger', 'Comedy', 'Central', '’', '@', 'Midnight', 'Marvel', 'ABC', 'Agent', 'Carter', 'SeeSo', 'Take', 'My', 'Wife', 'Cameron', 'Esposito', 'Rhea', 'Butcher', 'Matt', '’', 'Matt', 'Braunger', 'Big', 'Dumb', 'Animal', 'Variety', '’', '“', 'Top', 'Matt', '’', 'Soak', 'Up', 'Night', 'Comedy', 'Central', 'Records', 'REWIND', '“', 'Top', 'Albums', 'Matt', 'Comedy', 'Central', 'Presents', 'Shovel', 'Fighter', 'Braunger', 'Ding-Donger', 'Matt', 'Braunger', 'Matt'], ['States', 'Comics'], ['recently', 'also'], ['More'], []]"
matt holt,"[['comic', 'relaxed', 'of-the-cuff', 'old', 'busy', 'one-man', 'great', 'many', 'many', 'many', 'top', 'I-tunes'], ['more'], ['youngest', 'latest', 'latest'], ['Matt', 'Matt', 'Matt', '“', 'Thank', 'Johnny', 'Carson', '”', 'Matt', 'Louis', 'CK', 'Dave', 'Attel', 'John', 'Pinette', 'Ron', 'White', 'Jimmy', 'Pardo', 'Matt', '’', 'Acting', 'My', 'Age', 'Sirius/XM'], [], ['alike', 'seamlessly', 'twice', 'also'], [], []]"
matt iseman,"[['short', 'Dad-a', 'physician-when', 'stand-up', 'ninjas', 'general', '“', 'American', 'bro-host', 'ongoing', 'strong', 'last', 'medical', 'unique', 'lifestyle', 'countless', 'numerous'], [], ['best', 'best'], ['Life', 'Matt', 'Iseman', 'Matt', 'Matt', 'Matt', 'Iraq', 'Matt', 'American', 'Ninja', 'Warrior', 'Emmy', 'Outstanding', 'Reality-Competition', 'Program.', '”', 'Boston', 'Globe', 'Ninja', 'Warrior', 'Matt', 'Iseman', '’', 'Rheumatoid', 'Arthritis', 'Arthritis', 'Foundation', 'Celebrity', 'Apprentice', 'Arnold', 'Schwarzenegger', 'Dr.', 'Matt', 'Hallmark', '’', 'Home', 'Family', 'Emmy', 'Award', 'Clean', 'House', 'Sports', 'Soup', 'Versus', 'Scream', 'Play', 'E'], [], ['still', 's', 'down', 'already', 'also', 's'], [], []]"
matteo lane,"[['York-based', 't', 'current'], [], [], ['Matteo', 'Lane', 'New', 'Chicago', 'Matteo', 'Italy', 'Opera', 'Maria', 'Callas', 'Matteo', 'Matteo', 'Montreal', 'Just', 'Laughs', 'Festival', 'Comedy', 'Central', 'MTV', '’', 'GirlCode', 'MTV2', 'GuyCode', 'MTV2', '’', 'Joking', 'Off'], [], ['originally'], [], []]"
matthew broussard,"[['former', 'major', 'late', 'own', 'visual-play-on-words'], [], [], ['Matthew', 'Broussard', 'Financial', 'Analyst', 'Mathematics', 'Houston', '’', 'Funniest', 'Person', 'Matthew', 'Comedy', 'Knockout', 'Adam', 'Devine', 'House', 'Party', 'League', 'Mindy', 'Project', 'New', 'Face', 'Montreal', 'Just', 'Laugh', 'Comedy', 'Festival', 'Jimmy', 'Carr', 'International', 'Roastmasters', 'Invitational', 'Tonight', 'Show', 'Starring', 'Jimmy', 'Fallon', 'Conan', 'Matthew', 'Comedy', 'Central', '’', 'Roast', 'Battle', 'Half', 'Hour', 'Special', 'Comedy', 'Central', 'Matthew', 'Monday', 'Please'], [], ['up', 'also', 'pretentiously'], [], []]"
maz jobrani,"[['first', 'original', 'stand-up', 'special', 'available', 'solo', 've', 'founding', 'award-winning', 'Amerikan', 'co-produced', 'available', 'major', 'many', 'popular', 'regular', 've', 'available', 'first', 'exclusive', 'signed'], [], ['guest', 'guest'], ['VIP', 'TICKETS', 'AVAILABLE', 'Maz', 'Jobrani', 'CBS', 'Superior', 'Donuts', 'Maz', '’', 'Netflix', 'Immigrant', 'Kennedy', 'Center', 'Showtime', 'Brown', 'Friendly', 'Peace', 'Played', 'One', 'Maz', 'Axis', 'Evil', 'Comedy', 'Tour', 'Comedy', 'Central', 'Jimmy', 'Vestvood', 'Hero', 'Disney', 'Sydney', 'Pollack', 'Interpreter', 'Ice', 'Cube', 'Friday', 'Next', 'Maz', '’', 'Grey', '’', 'Anatomy', 'Curb', 'Your', 'Enthusiasm', 'True', 'Blood', 'Shameless', 'NPR', '’', 'Wait', 'Wait', 'Dont', 'Tell', 'Me', 'TED', 'Talks', 'Maz', 'LA', 'Times', 'Best', 'Selling', 'Book', 'A', 'Terrorist', 'Played', 'One', 'Everything', 'Must', 'Change'], [], ['recently', 'currently', 'also', 'm', 'Not', 'now', 'regularly', 'm', 'Not', 'as', 'well', 'currently'], [], ['most', 'most']]"
megan gailey,"[['late-night', 'late-night', 'cast', 'featured', 'comedic', 'amazing', 'famous', 'fanatical', 'rich'], ['older'], [], ['Gailey', 'Conan', 'O', '’', 'Brien', 'Show', 'Megan', 'Comedy', 'Central', 'Adam', 'DeVine', 'House', 'Party', 'MTV', 'Ladylike', 'Megan', 'New', 'Faces', 'Just', 'Laughs', 'Festival', 'SXSW', 'Bridgetown', 'Comedy', 'Festival', 'Comedy', 'Exposition', 'Gailey', 'Chicago', 'Magazine', 'Marie', 'Claire', 'Megan'], [], ['recently', 'also', 'finally', 'alongside', 'enough', 'no', 'longer', 'just'], [], []]"
mel brooks bellco,"[['incomparable', 'exclusive', 'inside', 'storied', 'legendary', 'groundbreaking', 'outrageous', 'top', 'big', 'live', 'Memorable', 'monumental', 'rated-R'], [], [], ['Comedy', 'Works', 'Entertainment', 'Mel', 'Brooks', 'Live', 'Blazing', 'Saddles', 'Join', 'Mel', 'Brooks', 'Blazing', 'Saddles', 'Q', 'A', 'Mel', 'Brooks', 'Governor', 'Mel', 'Brooks', 'Blazing', 'Saddles', 'Saddles'], [], ['back', 'again'], [], []]"
mentalpause,"[['hilarious', 'new', 'sneak', 'long', 'hilarious', 'quirky', 'only', 'hilarious', 'paced', 'one-woman', 'comic', 'sharp', 'stinging'], ['older'], [], ['Don', '’', 'IT', 'Laughing-Off', 'Middle', 'Ages', 'HOT', 'FLASH-NEWS', 'FLASH', 'Twilight', 'Moan', 'Adventures', 'Dating', 'Join', 'MentalPause', 'Comedy', 'Show', 'Features', 'Favorite', 'MentalPause', 'Stephanie', 'McHugh', '—', 'KOOL', 'Nickelodeon', 'Funniest', 'Mom', 'America', 'Speed', 'Dating', 'Stephanie', 'MentalPause', 'Nancy', 'Norton', '—', 'WINNER', 'Boston', 'Comedy', 'Festival', 'Boston', 'Comedy', 'Festival', 'Nancy', '’', 'A', 'E', 'Amazon', 'Prime', 'Video', 'Evening', 'Improv', 'Nick', 'Nite', 'PBS', 'MentalPause', 'Nora', 'Lynch', '–', 'Stand-up', 'MTV', 'A', 'E', 'Comedy', 'Central', 'Nora'], ['Denver', 'Comedians'], ['just', 'soon', 'Here', 'ever', 'fast'], [], []]"
